image_id,references,original,fast_x2,sharp_anime_x4,general_x4plus,auto_vehicle_x4
jxie_flickr8k_776,"[""A man on a motorized bike rides across a dirt road ."", ""A man rides a pinkish motorbike on a hill ."", ""A person on a dirt bike is riding up a sandy hill ."", ""A person riding a dirt bike ."", ""Man riding a dirt bike on a dirt track .""]",a person riding a dirt bike on a dirt track.,a man riding a dirt bike on a dirt track.,a man riding a motorcycle on a dirt track.,a man riding a dirt bike on a dirt road.,a man riding a dirt bike on a dirt road.
jxie_flickr8k_507,"[""A boat with two fishermen sits peacefully on the lake ."", ""A silhouette of two men in a boat on a misty lake"", ""Two men in a fishing boat on a river enjoy a pleasant morning ."", ""Two people are in a canoe on a river in misty conditions ."", ""Two people drift in a small boat on a foggy lake with trees in the background .""]",a boat on a lake,a boat on a lake,a boat on a misty lake,a boat on a misty lake,a boat on a misty lake
jxie_flickr8k_895,"[""a boy on skateboard is making a jump from a blue bench beside a white wall ."", ""A boy skateboarding in an urban area"", ""A skateboarder midair with his skateboard ."", ""Teen grinding a bench on a skateboard"", ""The boy is skateboarding on the bench by the fence .""]",a boy skateboarding on a bench.,a boy on a skateboard doing a trick on a bench.,a boy on a skateboard doing a trick on a bench.,a boy skateboarding on a bench.,a boy skateboarding on a bench.
jxie_flickr8k_922,"[""A woman playing an acoustic guitar with a microphone"", ""A woman singing and playing the acoustic guitar onstage ."", ""A woman sings into a microphone while playing guitar ."", ""A young brown haired woman plays her guitar and sings into a microphone ."", ""A young woman plays guitar and sings on a stage .""]",a woman playing an acoustic guitar.,a woman playing an acoustic guitar.,a woman playing an acoustic guitar.,a woman playing an acoustic guitar.,a woman playing an acoustic guitar.
jxie_flickr8k_33,"[""a man crashes into the water with his parachute ."", ""A parasailer splashes along the surface of a lake ."", ""A person hanging from a parachute makes a splash as their body hits the water ."", ""A person in a parachute sliding across the water ."", ""The parasailer is skipping across the water .""]",a person para sailing in a lake with water and trees,a person on a water skis in a lake.,a person parasailing in the water,a person in a parachute water kite,a person in a parachute water kite
jxie_flickr8k_483,"[""A black and brown dog stands on a roof ."", ""A black dog at the top of a red incline ."", ""A dog has his paw on the red roof of a kennel ."", ""A dog jumps over the top of an obstacle ."", ""A dog leaps onto the red roof of the doghouse .""]",person and his dog sit on a red doghouse.,a dog on a red door.,a dog on a red door.,a dog on a red door.,a dog on a red door.
jxie_flickr8k_85,"[""A blonde woman in black jeans is sitting on a wall examining her nails ."", ""A woman in black jeans sits on the railing of a bridge with a harbor in the background ."", ""A young woman sitting on a ledge with a black purse looking at her finger nails ."", ""girl sitting on wall looking at her nails"", ""The girl has a black purse and is sitting on the side of a ledge .""]",a woman sitting on a wall looking at her cell phone.,a woman sitting on a wall with a purse.,a woman sitting on a wall with a purse.,"a young woman sitting on a wall, holding a purse and looking at her phone.","a young woman sitting on a wall, holding a purse and looking at her phone."
jxie_flickr8k_750,"[""A boy riding a sled off of a snow ramp ."", ""A boy riding a tobaggan down a snowy hill"", ""A child sleds over a mound of snow as others watch him ."", ""A group of people are sledding down a snow covered hill ."", ""The young man is flying through the air on his green snowboard .""]",a snowboarder is doing a trick on a hill.,a snowboarder is doing a trick on a ramp on a hill.,a group of people snowboarding on a hill.,a snowboarder is doing a trick on a ramp on a hill.,a snowboarder is doing a trick on a ramp on a hill.
jxie_flickr8k_354,"[""A group of dogs look at each other while standing in the snow ."", ""three dogs come face to face with each other in a snowy field ."", ""Three dogs in the snow ."", ""Three dogs meet in the snow ."", ""Three dogs playing in the snow .""]",three dogs playing in the snow.,three dogs playing in the snow.,three dogs playing in the snow.,three dogs playing in the snow.,three dogs playing in the snow.
jxie_flickr8k_523,"[""A man wearing goggles snowboards on a half pipe ."", ""A person on a yellow snowboard does some tricks in the snow ."", ""Person snowboarding at a ski slope ."", ""The snowboarder in the blue pants is performing a trick ."", ""The snowboarder is wearing a dark top , blue pants and a helmet with goggles .""]",a snowboarder is doing a trick on a slope.,a snowboarder in a black jacket and blue pants is doing a trick on a snowboard trick.,a snowboarder in a black jacket and blue pants is doing a trick on a yellow snowboard,a snowboarder is doing a trick on the snowboard on the snow.,a snowboarder is doing a trick on the snowboard on the snow.
jxie_flickr8k_184,"[""Two bicycle riders in twilight on the shore ."", ""Two children on bikes riding on a desolate street near water and a streetlamp ."", ""Two kids ride their bikes by the ocean , in the evening ."", ""Two people are on bikes are next to a white building ."", ""Two people are riding bikes on a vacant street near the ocean .""]",two people riding bikes on a sidewalk.,a couple of cyclists ride their bikes along the beach at sunset.,a couple of cyclists ride their bikes along the beach at sunset.,a couple of cyclists ride their bikes along the beach at sunset.,a couple of cyclists ride their bikes along the beach at sunset.
jxie_flickr8k_809,"[""A dog runs along a forest lane ."", ""A pale dog is running along a dirt path ."", ""A shaggy dog runs down a dirt trail in a lush forest ."", ""A white and brown shaggy dog is running down a dirt path in a park ."", ""The curly haired white dog is running down a wooded path .""]",a dog running on a path in the woods.,a dog running in the woods.,a dog running in the woods.,a dog running in the woods.,a dog running in the woods.
jxie_flickr8k_418,"[""A group of dogs racing ."", ""A number eight racing dog is beating a number four racing dog slightly in a race ."", ""Several dogs wearing muzzles are racing on a track ."", ""There are three dogs wearing numbered jerseys running a race ."", ""Three race dogs run to finish a race .""]",a greyhound in a racing gear,a greyhound in a racing gear,a greyhound in a race.,a greyhound in a racing gear,a greyhound in a racing gear
jxie_flickr8k_615,"[""a group of woman in pink dresses walking across a crosswalk towards a cruisship ."", ""A group of women in pink dresses , walking across a street ."", ""Girls in pink dresses walk toward a cruise ship"", ""Ladies in bright dresses are crossing the road ."", ""Several woman walking down the street dressed in pink and other assorted people .""]",a group of women in pink dresses walking across a street.,a group of women in pink dresses crossing the street.,a group of women in pink dresses walking across a street.,a group of women in pink dresses walking across a street.,a group of women in pink dresses walking across a street.
jxie_flickr8k_682,"[""A group of rollerbladers is lined up on the street ."", ""A group of rollerblading on a sloping road ."", ""A line of rollerbladers crouch down aerodynamically"", ""Many people are rollerblading down the street ."", ""Rollerbladers roll in formation down a hill .""]",a group of skaters racing down a road.,a group of people on roller skateboards down a road.,a group of skaters racing down a road.,a group of people on roller skateboards down a road.,a group of people on roller skateboards down a road.
jxie_flickr8k_501,"[""A snowboarder in bright green performing a jump at a competition ."", ""A snowboarder in midair , after jumping a ramp ."", ""A snowboarder jumps high in the air over a snowy hill ."", ""A snowboarder launches off a ramp ."", ""Snowboarder sails in the air .""]",a snowboarder doing a trick on a jump,a snowboarder doing a trick on a jump,a snowboarder doing a trick on a jump,a snowboarder doing a trick on a jump,a snowboarder doing a trick on a jump
jxie_flickr8k_760,"[""A girl twirls in a pink dress ."", ""A little girl dancing in a pink and green dress ."", ""A little girl twirls around in a flowery dress ."", ""A young girl in a pink dress is dancing ."", ""Blonde girl in green dress with pink flowers .""]",little girl dancing in the garden,little girl in a dress,little girl in a dress,little girl in a dress,little girl in a dress
jxie_flickr8k_49,"[""A blonde girl is stepping on vertical logs in the sand ."", ""A little girl is walking along a line of logs on a sandy beach ."", ""A young girl balances on wooden pylons at the beach ."", ""A young girl is walking on stumps on the beach next to the ocean ."", ""Girl walking along the tops of wooden posts set into sand on a beach .""]",a woman standing on a beach with her arms outstretched.,a woman standing on a beach with her arms up in the air.,a person standing on a beach,a person standing on a beach,a person standing on a beach
jxie_flickr8k_732,"[""a dog gets sprayed by a hose ."", ""A dog is being sprayed with water ."", ""A dog jumping through the air getting hit by water ."", ""An animal is hosed down by a brick wall ."", ""Leaping dog sprayed by off screen person with hose .""]",a dog being sprayed with water,a dog jumping in the water,a dog jumping in the water,a dog jumping in the water,a dog jumping in the water
jxie_flickr8k_336,"[""A blond woman in a blue shirt appears to wait for a ride ."", ""A blond woman is on the street hailing a taxi ."", ""A woman is signaling is to traffic , as seen from behind ."", ""A woman with blonde hair wearing a blue tube top is waving on the side of the street ."", ""The woman in the blue dress is holding out her arm at oncoming traffic .""]",a woman taking a picture of a car,a woman taking a picture of a car,a woman taking a picture of a car,a woman taking a picture of a car,a woman taking a picture of a car
jxie_flickr8k_450,"[""A girl in a field with a yellow scarf ."", ""a girl in along grass field is spinning some yellow material around her ."", ""A woman in a field enjoys her clothing being blown by the wind ."", ""A young woman in a sunny meadow watches her yellow scarf blow in the wind ."", ""Woman in a field of tall grass and wildflowers holding up a yellow scarf""]",a woman in a field of tall grass holding a yellow umbrella.,a young woman in a field of tall grass holding a yellow umbrella,a young woman in a field of tall grass holding a yellow umbrella,a young woman in a field of tall grass holding a yellow umbrella,a young woman in a field of tall grass holding a yellow umbrella
jxie_flickr8k_790,"[""A girl in a black coat next to some school kids ."", ""Four teenagers are standing at the foot of some steps by a brick wall ."", ""Kids are waiting at the bottom of a staircase attached to a brick building ."", ""Peoople stand outside a building near a street ."", ""Teenagers congregate outside a brick building""]",a group of people standing on a sidewalk.,three people standing outside a brick building.,students talk about the history of the city ' s history of the city ' s history.,three people standing outside a brick building.,three people standing outside a brick building.
jxie_flickr8k_350,"[""A girl smiles as she runs across the white sandy beach in her swimsuit ."", ""a little girl in a flowered bathingsuit runs through the sand at the beach"", ""A little girl in a flower swimsuit running across the beach with waves in the background ."", ""There is a little girl running on the beach ."", ""The young girl is running on a sandy beach .""]",a girl running on the beach,girl running on the beach,a young girl running on the beach,a young girl running on the beach,a young girl running on the beach
jxie_flickr8k_467,"[""A boy hiding behind a tree"", ""A boy in a striped t-shirt is standing by a tree in front of the picnic tables ."", ""A little boy in a striped shirt is standing behind a tree ."", ""A young boy in a striped shirt is leaning against a tree while another child sits at a picnic table ."", ""Two boys in a park , one standing near a tree and one sitting at a picnic table with the playground behind them .""]",a little boy that is leaning against a tree.,a little boy playing with a water bottle in the park.,a young boy sitting under a tree,a young boy is standing under a tree.,a young boy is standing under a tree.
jxie_flickr8k_622,"[""a boy is kneeling under a statue of bear that has a painting of a man on its back ."", ""A boy sits under a bear with Einstein 's picture on it ."", ""A picture of Albert Einstein on a white bear statue , with a little boy standing under the bear statue 's face ."", ""A portrait of Einstein is painted on statue of a polar bear ."", ""Painting of Albert Einstein on a bear with child reaching up .""]",a man is working on a bull statue.,a man is working on a bull statue.,a man is looking at a sculpture of a bear.,a man is looking at a sculpture of a bear.,a man is looking at a sculpture of a bear.
jxie_flickr8k_476,"[""A dog hops in a field while another dog stands next to it ."", ""One dog is jumping up at another dog in a grassy field ."", ""The two tan colored dogs are in a field , and one is jumping in the air ."", ""Two brown dogs in a field ."", ""Two brown dogs play with one another in the field .""]",two dogs playing in a field.,two dogs playing in a field.,dogs playing in a field,a dog and a dog playing in the grass,a dog and a dog playing in the grass
jxie_flickr8k_614,"[""A black and a blonde dog are either playing or fighting with each other ."", ""A white and a black dog fighting in a fenced in room ."", ""Two dogs are jumping up at each other ."", ""Two dogs fighting , one is black , the other beige ."", ""Two dogs in a kennel on their hind legs facing one another .""]",two dogs playing with each other.,two dogs playing with each other.,a dog and a dog standing up.,two dogs playing with each other,two dogs playing with each other
jxie_flickr8k_554,"[""A large man sits in a military accessories store ."", ""A man in glasses is sitting behind a table laden with military memorabilia ."", ""A man is sitting at a table full of military items and clothing ."", ""A man sits at a table crowded with military merchandise ."", ""Veteran shows off different things from a war .""]",a man sits at a table with a table full of items.,a man sits in a shop with his belongings in his hand.,a man sits at a table with a display of items.,a man sits in a shop with his belongings in his hand.,a man sits in a shop with his belongings in his hand.
jxie_flickr8k_365,"[""a boy jumping off a swing"", ""A boy jumps off a swing on the swing set when its high enough ."", ""A child in a white shirt coming out of a swing in midair ."", ""A young boy leaps off a swing ."", ""The boy wearing white is leaping from the swing .""]",a boy on a swing set in a playground,a boy on a swing set in a playground,a boy on a swing set in a playground,a boy jumps over a slide at a playground.,a boy jumps over a slide at a playground.
